CEP,lat,lon,Bairro
04582000,-23.548,-46.9603718772,Vila Cordeiro
01442002,-23.548,-46.6170521222,Jardim América
04190050,-23.797030027,-46.3643483732,Vila Santa Teresa (Zona Sul)
05181280,-23.9289700421,-47.0515769204,Jaraguá
04368130,-23.8184500287,-46.636,Jardim Santo Antoninho
02912080,-23.6578900145,-46.5161277036,Piqueri
05038150,-23.9136700368,-46.2371129198,Água Branca
03059001,-23.5849000058,-46.6762519597,Belenzinho
04766000,-23.2307499642,-46.2899313377,Socorro
03508010,-23.7188200182,-46.4496628888,Chácara Seis de Outubro
03361010,-23.3914899791,-46.8067272103,Vila Formosa
05617140,-23.5917319,-46.7181648,Vila Progredior
05520900,-23.4333399843,-46.7610755989,Vila Sônia
01315000,-23.548,-46.6225499517,Bela Vista
03139010,-23.4160599862,-46.4920747079,Parque da Vila Prudente
04530090,-23.548,-46.3190894646,Itaim Bibi
03275900,-23.5083999922,-46.6791972267,Chácara Belenzinho
04257100,-23.8045900316,-46.636,Parque Fongaro
04761010,-23.231379966,-46.636,Vila Socorro
03126007,-23.548,-46.7780599579,Parque da Mooca
08260140,-24.051820058,-47.1855864896,Colônia (Zona Leste)
02998030,-23.4268599866,-46.5038557678,Jaraguá
01316000,-23.5355799969,-46.636,Bela Vista
03090030,-23.529522914,-46.5581892914,Tatuapé
05510000,-23.9586700485,-46.188025159,Butantã
04284020,-23.548,-46.3535490656,Vila Moinho Velho
02883020,-23.4387399876,-46.636,Vila Nova Parada
05081060,-23.548,-46.2332840691,Alto da Lapa
03136030,-23.5809125895,-46.5775808744,Vila Prudente
05782410,-23.1072699544,-46.636,Parque Munhoz
05832230,-23.1013299498,-47.1232450412,Jardim Mazza
05415040,-23.9510200441,-46.196370081,Pinheiros
03565000,-23.3710599812,-46.636,Vila Santa Teresa (Zona Leste)
03694000,-23.3541399736,-46.636,Parque Paineiras
01135020,-23.5527700088,-46.636,Barra Funda
08215490,-23.5415139287,-46.4420102341,Itaquera
02056070,-23.5196499964,-46.6050747148,Vila Guilherme
04534014,-23.8393300335,-46.636,Itaim Bibi
04029100,-23.548,-46.8854639661,Indianópolis
04763280,-23.548,-46.9817741394,Socorro
04278080,-23.8063000281,-46.9177637041,Ipiranga
03111001,-23.548,-46.4951181424,Mooca
04729010,-23.2345299636,-46.636,Jardim Caravelas
05023001,-23.548,-46.2387818969,Vila Pompéia
03729030,-23.3502699726,-46.4203084054,Jardim Danfer
05019000,-23.9118700431,-46.636,Perdizes
02998020,-23.4268599789,-46.636,Jaraguá
03026001,-23.5300196602,-46.6108553698,Pari
04267000,-23.8054900317,-46.3551198715,Vila Dom Pedro I
05511010,-23.548,-47.0840730098,Butantã
08475170,-23.0121399401,-47.2205369683,Cidade Tiradentes
04074010,-23.3146299704,-46.3814309067,Indianópolis
04195130,-23.2979799734,-46.636,Jardim Celeste
03160020,-23.6820100177,-46.7821833328,Vila Graciosa
01232010,-23.5559200075,-46.6273605481,Santa Cecília
05596090,-23.1255399542,-46.175164172,Jardim Pinheiros
05589090,-23.9693800431,-46.1763422809,Vila Gomes
02266000,-23.600020012,-46.636,Vila Gustavo
04743050,-23.8627300365,-46.636,Santo Amaro
04771060,-23.548,-46.9825595407,Jardim dos Lagos
03376090,-23.7066700194,-46.636,Chácara Belenzinho
05690010,-23.548,-47.1062606729,Vila Tramontano
05704140,-23.1162699522,-46.1650520937,Jardim Fonte do Morumbi
02301110,-23.492109986,-46.636,Vila Paulicéia
03588020,-23.3662899757,-46.8342163528,Cidade Líder
05143320,-23.1712599619,-47.0469626676,Jardim Felicidade (Zona Oeste)
04671010,-23.548,-46.9700912522,Vila Sofia
04126000,-23.3087799726,-46.636,Vila Mariana
03064000,-23.4219099871,-46.636,Tatuapé
04291000,-23.548,-46.9194326925,Jardim da Saúde
03703110,-23.3536899768,-46.8479609211,Jardim Jaú (Zona Leste)
05842070,-23.0997999504,-46.147085976,Vila das Belezas
08215263,-23.548,-46.7765873284,Itaquera
05566000,-23.5926113,-46.7926732,Jardim Arpoador
05665010,-23.9770300479,-46.636,Vila Suzana
02998000,-23.548,-46.7680460608,Loteamento City Jaragua
04001120,-23.3230899715,-46.636,Paraíso
03043020,-23.4232599842,-46.4999287453,Brás
02460030,-23.548,-46.5516672382,Santa Teresinha
05401450,-23.9495800491,-46.1979408835,Pinheiros
05705901,-23.1161799557,-47.107046078,Jardim Morumbi
01403003,-23.5622200087,-46.636,Jardim Paulista
02936140,-23.548,-46.512986083,Vila Pereira Barreto
08275580,-23.0418399425,-47.188139052,Fazenda Aricanduva
02733000,-23.6424100139,-46.7389861105,Vila São Vicente
04624000,-23.2471299634,-46.636,Vila Congonhas
04705010,-23.2379499625,-46.9742146245,Vila Gertrudes
01218011,-23.5550200079,-46.6283423027,Campos Elíseos
01322020,-23.5350399921,-46.636,Bela Vista
01532901,-23.5713184,-46.6349529,Aclimação
01524000,-23.5272099917,-46.636,Cambuci
05008001,-23.1850299635,-47.0319418151,Perdizes
08081170,-23.548,-46.1155716344,Jardim Helena
05181660,-23.6542000126,-46.636,Jaraguá
02722070,-23.6409700136,-46.5345846978,Conjunto Residencial Novo Pacaembu
01314000,-23.5357599966,-46.6226481289,Bela Vista
08030530,-23.548,-46.1276472288,Vila Curuçá
05519030,-23.9595700425,-46.636,Jardim Trussardi
05275060,-23.548,-46.7543996638,Chácara Maria Trindade
